district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Pontianak,59.48,59.95,60.75,62.09,62.78,63.37,63.84,64,64.9,65.5,65.74,66.03,66.94,67.92,,,,,,,,,,,,,,
Pontianak City,74.87,75.08,75.55,75.98,76.63,77.52,77.63,77.93,78.56,79.35,79.44,79.93,80.48,81.03,,,,,,,,,,,,,,
Poso,64.81,65.59,66.2,66.94,67.65,68.13,68.83,69.78,70.68,71.4,71.28,71.45,71.93,72.48,32.21289663,33.56973204,33.97998476,34.32775286,34.76221197,35.05891633,35.43856724,35.74516771,36.45818697,37.6227182,37.628093,32.81130671,33.14542191,33.38380025
Prabumulih City,69.39,70.32,70.95,71.87,72.2,73.19,73.38,73.58,74.04,74.4,74.55,74.67,75.52,76.46,,,,,,,,,,,,,,
Pringsewu,0,64.86,65.37,66.14,66.58,67.55,68.26,68.61,69.42,69.97,70.3,70.45,70.98,71.61,323.7157766,320.3789244,322.0254901,320.8137625,330.2437707,333.1288671,336.2139431,339.1626597,339.2353216,329.5948366,331.7435314,661.8510393,677.2548907,682.6305529
Probolinggo,59.83,60.3,61.33,62.61,63.04,63.83,64.12,64.28,64.85,65.6,66.07,66.26,66.96,67.79,668.5768232,632.069307,639.2554932,645.7191615,652.2165036,658.4560799,665.6751326,671.4929028,675.4925431,638.9941474,639.6707415,656.6676713,661.3394692,666.4330018
Probolinggo City,67.3,68.14,68.93,70.05,70.49,71.01,71.5,72.09,72.53,73.27,73.27,73.66,74.56,75.43,,,,,,,,,,,,,,
Pulang Pisau,63.76,64.06,64.28,64.76,65,65.76,66.49,67,67.54,68.34,68.45,68.53,69.01,69.6,18.3736123,18.01766668,18.24206357,18.46126353,18.65469295,18.8295174,19.0010059,19.1706278,19.42846809,21.01726119,21.13894629,14.02251146,14.15422449,14.25117739
Pulau Morotai,0,56.63,57.16,57.97,58.34,59.27,59.87,60.71,61.39,62.38,62.5,62.9,63.8,64.73,27.82946869,26.73950503,25.8760347,26.15038005,26.56687446,28.53096637,28.72779199,28.97537892,31.08428687,33.6133438,31.98231606,20.52801805,20.05585782,20.30973122
Pulau Taliabu,0,0,0,56.86,57.31,58.26,58.66,59.03,59.67,60.62,60.48,60.73,61.64,62.31,2.15682757,2.520932701,2.523964159,2.596200378,2.943538165,3.154622773,3.151338475,3.156538068,3.336757872,3.62393942,3.65212386,13.16723221,13.69775576,13.7468997
Puncak,33.44,35.08,36.85,37.73,38.05,39.41,39.96,41.06,41.81,42.7,43.04,43.17,43.87,44.59,10.87706845,16.40135729,16.59441913,16.76997665,16.95879553,17.07077009,17.1655723,17.31514402,17.46169522,18.68877722,18.8358575,14.66041788,14.71930972,14.83437737
Puncak Jaya,38.83,40.36,41.85,43.36,44.32,44.87,45.49,46.57,47.39,48.33,48.37,48.99,49.84,50.81,6.548342431,9.738916072,9.900014648,9.994601702,10.06968962,10.70733137,10.77984222,10.88753036,10.97951382,11.75178763,11.84482578,51.27207094,51.83410051,52.29754436
Purbalingga,63.61,64.33,64.94,65.53,66.23,67.03,67.48,67.72,68.41,68.99,68.97,69.15,69.54,70.24,1157.793502,1053.396513,1066.301985,1077.092278,1086.8036,1096.812977,1106.762693,1116.462922,1125.388066,1078.797369,1087.274935,1250.119207,1255.659243,1266.2598
Purwakarta,64.93,65.51,66.3,67.09,67.32,67.84,68.56,69.28,69.98,70.67,70.82,70.98,71.56,72.09,806.2038688,852.3920011,863.7348944,872.533655,882.4573779,890.7397482,873.7384157,881.3996976,884.0522504,909.3986247,915.472306,1098.165293,1121.887571,1132.419748
Purworejo,68.16,69.11,69.4,69.77,70.12,70.37,70.66,71.31,71.87,72.5,72.68,72.98,73.6,74.28,758.9120754,690.5244424,699.0714828,706.1398651,714.0313739,720.5478385,727.2917789,733.6689228,739.557317,709.0588876,714.4470068,709.9860487,714.2704951,719.4982541
Raja Ampat,57.36,58.37,59.06,60.36,60.86,61.23,61.95,62.35,62.84,63.66,63.89,63.92,64.65,65.26,5.414270996,6.679831954,6.771370054,6.80776383,6.946506023,7.528731549,7.539265412,7.564701095,7.251779461,7.752845433,7.6901077,6.101406903,4.428049171,4.549814639
